quote,author,tags,searchable_text
“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,"['friend', 'friendship', 'knowledge', 'love']",Quote: “A friend is someone who knows all about you and still loves you.” Author: Elbert Hubbard By: Elbert Hubbard About: friend Topic: friend Theme: friend About: friendship Topic: friendship Theme: friendship About: knowledge Topic: knowledge Theme: knowledge About: love Topic: love Theme: love love quotes
“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,"['enemies', 'forgiveness', 'strategy']",Quote: “Always forgive your enemies; nothing annoys them so much.” Author: Oscar Wilde By: Oscar Wilde About: enemies Topic: enemies Theme: enemies About: forgiveness Topic: forgiveness Theme: forgiveness About: strategy Topic: strategy Theme: strategy
"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,['life'],"Quote: “To live is the rarest thing in the world. Most people exist, that is all.” Author: Oscar Wilde By: Oscar Wilde About: life Topic: life Theme: life"
“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,"['carpe-diem', 'education', 'inspirational', 'learning']",Quote: “Live as if you were to die tomorrow. Learn as if you were to live forever.” Author: Mahatma Gandhi By: Mahatma Gandhi About: carpe-diem Topic: carpe-diem Theme: carpe-diem About: education Topic: education Theme: education About: inspirational Topic: inspirational Theme: inspirational About: learning Topic: learning Theme: learning
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"Martin Luther King Jr.,","['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']","Quote: “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.” Author: Martin Luther King Jr., By: Martin Luther King Jr., About: darkness Topic: darkness Theme: darkness About: drive-out Topic: drive-out Theme: drive-out About: hate Topic: hate Theme: hate About: inspirational Topic: inspirational Theme: inspirational About: light Topic: light Theme: light About: love Topic: love Theme: love About: peace Topic: peace Theme: peace love quotes"
"“Without music, life would be a mistake.”","Friedrich Nietzsche,","['inspirational', 'music', 'philosophy']","Quote: “Without music, life would be a mistake.” Author: Friedrich Nietzsche, By: Friedrich Nietzsche, About: inspirational Topic: inspirational Theme: inspirational About: music Topic: music Theme: music About: philosophy Topic: philosophy Theme: philosophy life quotes"
“We accept the love we think we deserve.”,"Stephen Chbosky,","['inspirational', 'love']","Quote: “We accept the love we think we deserve.” Author: Stephen Chbosky, By: Stephen Chbosky, About: inspirational Topic: inspirational Theme: inspirational About: love Topic: love Theme: love love quotes"
“I am so clever that sometimes I don't understand a single word of what I am saying.”,"Oscar Wilde,","['intelligence', 'self-deprecation']","Quote: “I am so clever that sometimes I don't understand a single word of what I am saying.” Author: Oscar Wilde, By: Oscar Wilde, About: intelligence Topic: intelligence Theme: intelligence About: self-deprecation Topic: self-deprecation Theme: self-deprecation life quotes"
“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson,"['accomplishment', 'be-yourself', 'conformity', 'individuality']",Quote: “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.” Author: Ralph Waldo Emerson By: Ralph Waldo Emerson About: accomplishment Topic: accomplishment Theme: accomplishment About: be-yourself Topic: be-yourself Theme: be-yourself About: conformity Topic: conformity Theme: conformity About: individuality Topic: individuality Theme: individuality
"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”",Rob Siltanen,"['advertising', 'apple', 'change', 'commercial', 'computers', 'different', 'madness', 'misattributed-apple', 'misattributed-steve-jobs', 'misfits', 'nonconformity', 'progressive', 'rebels', 'status-quo', 'think-different', 'troublemakers']","Quote: “Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.” Author: Rob Siltanen By: Rob Siltanen About: advertising Topic: advertising Theme: advertising About: apple Topic: apple Theme: apple About: change Topic: change Theme: change About: commercial Topic: commercial Theme: commercial About: computers Topic: computers Theme: computers About: different Topic: different Theme: different About: madness Topic: madness Theme: madness About: misattributed-apple Topic: misattributed-apple Theme: misattributed-apple About: misattributed-steve-jobs Topic: misattributed-steve-jobs Theme: misattributed-steve-jobs About: misfits Topic: misfits Theme: misfits About: nonconformity Topic: nonconformity Theme: nonconformity About: progressive Topic: progressive Theme: progressive About: rebels Topic: rebels Theme: rebels About: status-quo Topic: status-quo Theme: status-quo About: think-different Topic: think-different Theme: think-different About: troublemakers Topic: troublemakers Theme: troublemakers"
"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']","Quote: “Insanity is doing the same thing, over and over again, but expecting different results.” Author: Narcotics Anonymous By: Narcotics Anonymous About: humor Topic: humor Theme: humor About: insanity Topic: insanity Theme: insanity About: life Topic: life Theme: life About: misattributed-ben-franklin Topic: misattributed-ben-franklin Theme: misattributed-ben-franklin About: misattributed-mark-twain Topic: misattributed-mark-twain Theme: misattributed-mark-twain About: misattributed-to-einstein Topic: misattributed-to-einstein Theme: misattributed-to-einstein"
"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”",Marilyn Monroe,['misattributed-marilyn-monroe'],"Quote: “I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.” Author: Marilyn Monroe By: Marilyn Monroe About: misattributed-marilyn-monroe Topic: misattributed-marilyn-monroe Theme: misattributed-marilyn-monroe life quotes"
“Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”,"H. Jackson Brown Jr.,","['actions', 'disappointed', 'disappointment', 'dream', 'dreams', 'explore', 'misattributed-mark-twain', 'sail']","Quote: “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.” Author: H. Jackson Brown Jr., By: H. Jackson Brown Jr., About: actions Topic: actions Theme: actions About: disappointed Topic: disappointed Theme: disappointed About: disappointment Topic: disappointment Theme: disappointment About: dream Topic: dream Theme: dream About: dreams Topic: dreams Theme: dreams About: explore Topic: explore Theme: explore About: misattributed-mark-twain Topic: misattributed-mark-twain Theme: misattributed-mark-twain About: sail Topic: sail Theme: sail"
“It is better to be hated for what you are than to be loved for what you are not.”,"Andre Gide,","['life', 'love']","Quote: “It is better to be hated for what you are than to be loved for what you are not.” Author: Andre Gide, By: Andre Gide, About: life Topic: life Theme: life About: love Topic: love Theme: love love quotes"
"“Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid itâ€™s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. A phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. In their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”",Bob Marley,['love'],"Quote: “Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that youâ€™ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you canâ€™t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid itâ€™s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didnâ€™t exist at all. A phone call or two during the day helps to get you through a long dayâ€™s work and always brings a smile to your face. In their presence, thereâ€™s no need for continuous conversation, but you find youâ€™re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that thereâ€™s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure thatâ€™s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.” Author: Bob Marley By: Bob Marley About: love Topic: love Theme: love love quotes life quotes inspirational quotes"
"“All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.”","J.R.R. Tolkien,","['frost', 'glitter', 'gold', 'lost', 'poetry', 'roots', 'strength', 'strong', 'wander', 'wither']","Quote: “All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.” Author: J.R.R. Tolkien, By: J.R.R. Tolkien, About: frost Topic: frost Theme: frost About: glitter Topic: glitter Theme: glitter About: gold Topic: gold Theme: gold About: lost Topic: lost Theme: lost About: poetry Topic: poetry Theme: poetry About: roots Topic: roots Theme: roots About: strength Topic: strength Theme: strength About: strong Topic: strong Theme: strong About: wander Topic: wander Theme: wander About: wither Topic: wither Theme: wither"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","J.K. Rowling,","['abilities', 'choices']","Quote: “It is our choices, Harry, that show what we truly are, far more than our abilities.” Author: J.K. Rowling, By: J.K. Rowling, About: abilities Topic: abilities Theme: abilities About: choices Topic: choices Theme: choices"
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","Jane Austen,","['aliteracy', 'books', 'classic', 'humor']","Quote: “The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.” Author: Jane Austen, By: Jane Austen, About: aliteracy Topic: aliteracy Theme: aliteracy About: books Topic: books Theme: books About: classic Topic: classic Theme: classic About: humor Topic: humor Theme: humor"
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"['be-yourself', 'inspirational']","Quote: “Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.” Author: Marilyn Monroe By: Marilyn Monroe About: be-yourself Topic: be-yourself Theme: be-yourself About: inspirational Topic: inspirational Theme: inspirational"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"['inspirational', 'life', 'live', 'miracle', 'miracles']",Quote: “There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.” Author: Albert Einstein By: Albert Einstein About: inspirational Topic: inspirational Theme: inspirational About: life Topic: life Theme: life About: live Topic: live Theme: live About: miracle Topic: miracle Theme: miracle About: miracles Topic: miracles Theme: miracles life quotes
“It does not do to dwell on dreams and forget to live.”,"J.K. Rowling,","['dreams', 'life']","Quote: “It does not do to dwell on dreams and forget to live.” Author: J.K. Rowling, By: J.K. Rowling, About: dreams Topic: dreams Theme: dreams About: life Topic: life Theme: life"
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"['books', 'contentment', 'friends', 'friendship', 'life']","Quote: “Good friends, good books, and a sleepy conscience: this is the ideal life.” Author: Mark Twain By: Mark Twain About: books Topic: books Theme: books About: contentment Topic: contentment Theme: contentment About: friends Topic: friends Theme: friends About: friendship Topic: friendship Theme: friendship About: life Topic: life Theme: life life quotes book quotes"
"“As he read, I fell in love the way you fall asleep: slowly, and then all at once.”","John Green,",['love'],"Quote: “As he read, I fell in love the way you fall asleep: slowly, and then all at once.” Author: John Green, By: John Green, About: love Topic: love Theme: love love quotes book quotes"
"“We are all in the gutter, but some of us are looking at the stars.”","Oscar Wilde,","['inspirational', 'optimism', 'perception', 'pessimism']","Quote: “We are all in the gutter, but some of us are looking at the stars.” Author: Oscar Wilde, By: Oscar Wilde, About: inspirational Topic: inspirational Theme: inspirational About: optimism Topic: optimism Theme: optimism About: perception Topic: perception Theme: perception About: pessimism Topic: pessimism Theme: pessimism"
"“Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”","Neil Gaiman,","['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']","Quote: “Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.” Author: Neil Gaiman, By: Neil Gaiman, About: books Topic: books Theme: books About: dragons Topic: dragons Theme: dragons About: fairy-tales Topic: fairy-tales Theme: fairy-tales About: inspirational Topic: inspirational Theme: inspirational About: paraphrasing-g-k-chesterton Topic: paraphrasing-g-k-chesterton Theme: paraphrasing-g-k-chesterton"
"“It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”","Maurice Switzer,","['misattributed-to-abraham-lincoln', 'misattributed-to-mark-twain', 'remaining-silent', 'wisdom']","Quote: “It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.” Author: Maurice Switzer, By: Maurice Switzer, About: misattributed-to-abraham-lincoln Topic: misattributed-to-abraham-lincoln Theme: misattributed-to-abraham-lincoln About: misattributed-to-mark-twain Topic: misattributed-to-mark-twain Theme: misattributed-to-mark-twain About: remaining-silent Topic: remaining-silent Theme: remaining-silent About: wisdom Topic: wisdom Theme: wisdom"
"“The fool doth think he is wise, but the wise man knows himself to be a fool.”","William Shakespeare,",['wisdom'],"Quote: “The fool doth think he is wise, but the wise man knows himself to be a fool.” Author: William Shakespeare, By: William Shakespeare, About: wisdom Topic: wisdom Theme: wisdom"
"“Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”",Mark Twain,"['individuality', 'majority', 'minority', 'pause', 'reflect', 'wisdom']","Quote: “Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).” Author: Mark Twain By: Mark Twain About: individuality Topic: individuality Theme: individuality About: majority Topic: majority Theme: majority About: minority Topic: minority Theme: minority About: pause Topic: pause Theme: pause About: reflect Topic: reflect Theme: reflect About: wisdom Topic: wisdom Theme: wisdom life quotes"
“Life is what happens to us while we are making other plans.”,Allen Saunders,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']",Quote: “Life is what happens to us while we are making other plans.” Author: Allen Saunders By: Allen Saunders About: fate Topic: fate Theme: fate About: life Topic: life Theme: life About: misattributed-john-lennon Topic: misattributed-john-lennon Theme: misattributed-john-lennon About: planning Topic: planning Theme: planning About: plans Topic: plans Theme: plans life quotes
"“Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”",Bill Keane,"['hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed']","Quote: “Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.” Author: Bill Keane By: Bill Keane About: hope Topic: hope Theme: hope About: inspirational Topic: inspirational Theme: inspirational About: misattributed-eleanor-roosevelt Topic: misattributed-eleanor-roosevelt Theme: misattributed-eleanor-roosevelt About: past Topic: past Theme: past About: present Topic: present Theme: present About: widely-misattributed Topic: widely-misattributed Theme: widely-misattributed"
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"['edison', 'failure', 'inspirational', 'paraphrased']","Quote: “I have not failed. I've just found 10,000 ways that won't work.” Author: Thomas A. Edison By: Thomas A. Edison About: edison Topic: edison Theme: edison About: failure Topic: failure Theme: failure About: inspirational Topic: inspirational Theme: inspirational About: paraphrased Topic: paraphrased Theme: paraphrased"
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']","Quote: “It is not a lack of love, but a lack of friendship that makes unhappy marriages.” Author: Friedrich Nietzsche By: Friedrich Nietzsche About: friendship Topic: friendship Theme: friendship About: lack-of-friendship Topic: lack-of-friendship Theme: lack-of-friendship About: lack-of-love Topic: lack-of-love Theme: lack-of-love About: love Topic: love Theme: love About: marriage Topic: marriage Theme: marriage About: unhappy-marriage Topic: unhappy-marriage Theme: unhappy-marriage love quotes"
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']","Quote: “The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.” Author: Elie Wiesel By: Elie Wiesel About: activism Topic: activism Theme: activism About: apathy Topic: apathy Theme: apathy About: hate Topic: hate Theme: hate About: indifference Topic: indifference Theme: indifference About: inspirational Topic: inspirational Theme: inspirational About: love Topic: love Theme: love About: opposite Topic: opposite Theme: opposite About: philosophy Topic: philosophy Theme: philosophy love quotes life quotes"
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,['misattributed-eleanor-roosevelt'],Quote: “A woman is like a tea bag; you never know how strong it is until it's in hot water.” Author: Eleanor Roosevelt By: Eleanor Roosevelt About: misattributed-eleanor-roosevelt Topic: misattributed-eleanor-roosevelt Theme: misattributed-eleanor-roosevelt
“The man who does not read has no advantage over the man who cannot read.”,Mark Twain,"['aliteracy', 'literacy']",Quote: “The man who does not read has no advantage over the man who cannot read.” Author: Mark Twain By: Mark Twain About: aliteracy Topic: aliteracy Theme: aliteracy About: literacy Topic: literacy Theme: literacy book quotes
“If you don't stand for something you will fall for anything.”,Gordon A. Eadie,"['belief', 'integrity', 'misattributed-to-malcolm-x', 'misattributed-to-rosa-parks']",Quote: “If you don't stand for something you will fall for anything.” Author: Gordon A. Eadie By: Gordon A. Eadie About: belief Topic: belief Theme: belief About: integrity Topic: integrity Theme: integrity About: misattributed-to-malcolm-x Topic: misattributed-to-malcolm-x Theme: misattributed-to-malcolm-x About: misattributed-to-rosa-parks Topic: misattributed-to-rosa-parks Theme: misattributed-to-rosa-parks
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”","douglas adams,","['life', 'navigation']","Quote: “I may not have gone where I intended to go, but I think I have ended up where I needed to be.” Author: douglas adams, By: douglas adams, About: life Topic: life Theme: life About: navigation Topic: navigation Theme: navigation"
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”","Pablo Neruda,","['love', 'poetry']","Quote: “I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.” Author: Pablo Neruda, By: Pablo Neruda, About: love Topic: love Theme: love About: poetry Topic: poetry Theme: poetry love quotes"
“I solemnly swear that I am up to no good.”,"J.K. Rowling,",['mischief'],"Quote: “I solemnly swear that I am up to no good.” Author: J.K. Rowling, By: J.K. Rowling, About: mischief Topic: mischief Theme: mischief"
"“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”","Groucho Marx,","['animals', 'books', 'dogs', 'friends', 'humor']","Quote: “Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.” Author: Groucho Marx, By: Groucho Marx, About: animals Topic: animals Theme: animals About: books Topic: books Theme: books About: dogs Topic: dogs Theme: dogs About: friends Topic: friends Theme: friends About: humor Topic: humor Theme: humor book quotes"
